ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Engenharia Química;Noturno;M;Branca;2000-07-25;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia;Noturno;F;Parda;1997-09-07;N;MG;MONTE CARMELO;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia;Noturno;F;Branca;1997-05-08;N;MG;CONQUISTA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia;Noturno;M;Branca;1986-03-24;N;MG;UBERABA;35
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia;Noturno;F;Parda;1998-11-20;N;MG;CAMPOS ALTOS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia E Bioquímica;Noturno;F;Branca;1997-05-08;N;MG;CONQUISTA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia Industrial;Noturno;F;Parda;1997-09-07;N;MG;MONTE CARMELO;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia Industrial;Noturno;F;Branca;1997-05-08;N;MG;CONQUISTA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia Industrial;Noturno;M;Branca;1986-03-24;N;MG;UBERABA;35
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Farmácia Industrial;Noturno;F;Parda;1998-11-20;N;MG;CAMPOS ALTOS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Fisioterapia;Noturno;F;Branca;1999-11-12;N;MG;ABADIA DOS DOURADOS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Fisioterapia;Noturno;F;Branca;1999-01-06;N;MG;ITUIUTABA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Fisioterapia;Noturno;M;Preta;1993-02-15;N;MG;UBERABA;28
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Fisioterapia;Noturno;F;Branca;2000-01-24;N;MG;ABADIA DOS DOURADOS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão De Recursos Humanos;Noturno;F;Parda;1999-05-21;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão De Recursos Humanos;Noturno;F;Parda;2000-04-07;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão De Recursos Humanos;Noturno;F;Parda;2000-09-05;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão De Recursos Humanos;Noturno;M;Parda;1988-07-14;N;MG;UBERABA;32
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão Do Agronegócio;Noturno;M;Amarela;1998-05-16;N;MG;CONCEICAO DAS ALAGOAS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Gestão Do Agronegócio;Noturno;F;Parda;1994-11-18;N;MG;UBERABA;26
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Jogos Digitais;Noturno;M;Parda;1999-09-07;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Jogos Digitais;Noturno;M;Parda;2000-02-18;N;MG;UBERABA;21
